season,week,celebrity_name,celebrity_industry,results,total_judge_score,num_judges,judge_rank,judge_percent,eliminated_week_num,is_eliminated,f_placement,rule_type,space_contraction_certainty,feasible_ratio
1,1,Evander Holyfield,Athlete,Eliminated Week 3,18.0,3,4.0,0.1651376146788991,3,False,3,Rank_Standard,0.0,1.0
1,1,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,1.0,0.1834862385321101,7,False,3,Rank_Standard,0.0,1.0
1,1,John O'Hurley,Actor/Actress,2nd Place,20.0,3,1.0,0.1834862385321101,7,False,2,Rank_Standard,0.0,1.0
1,1,Kelly Monaco,Actor/Actress,1st Place,13.0,3,6.0,0.1192660550458715,7,False,1,Rank_Standard,0.0,1.0
1,1,Rachel Hunter,Model,Eliminated Week 4,20.0,3,1.0,0.1834862385321101,4,False,4,Rank_Standard,0.0,1.0
1,1,Trista Sutter,TV Personality,Eliminated Week 2,18.0,3,4.0,0.1651376146788991,2,False,2,Rank_Standard,0.0,1.0
1,2,Evander Holyfield,Athlete,Eliminated Week 3,14.0,3,6.0,0.1157024793388429,3,False,3,Rank_Standard,0.7680555555555555,0.2319444444444445
1,2,Joey McIntyre,Singer/Rapper,3rd Place,21.0,3,3.0,0.1735537190082644,7,False,3,Rank_Standard,0.7680555555555555,0.2319444444444445
1,2,John O'Hurley,Actor/Actress,2nd Place,26.0,3,1.0,0.2148760330578512,7,False,2,Rank_Standard,0.7680555555555555,0.2319444444444445
1,2,Kelly Monaco,Actor/Actress,1st Place,17.0,3,5.0,0.140495867768595,7,False,1,Rank_Standard,0.7680555555555555,0.2319444444444445
1,2,Rachel Hunter,Model,Eliminated Week 4,24.0,3,2.0,0.1983471074380165,4,False,4,Rank_Standard,0.7680555555555555,0.2319444444444445
1,2,Trista Sutter,TV Personality,Eliminated Week 2,19.0,3,4.0,0.1570247933884297,2,True,2,Rank_Standard,0.7680555555555555,0.2319444444444445
1,3,Evander Holyfield,Athlete,Eliminated Week 3,13.0,3,5.0,0.1226415094339622,3,True,3,Rank_Standard,0.375,0.625
1,3,Joey McIntyre,Singer/Rapper,3rd Place,22.0,3,3.0,0.2075471698113207,7,False,3,Rank_Standard,0.375,0.625
1,3,John O'Hurley,Actor/Actress,2nd Place,24.0,3,2.0,0.2264150943396226,7,False,2,Rank_Standard,0.375,0.625
1,3,Kelly Monaco,Actor/Actress,1st Place,21.0,3,4.0,0.1981132075471698,7,False,1,Rank_Standard,0.375,0.625
1,3,Rachel Hunter,Model,Eliminated Week 4,26.0,3,1.0,0.2452830188679245,4,False,4,Rank_Standard,0.375,0.625
1,4,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,4.0,0.217391304347826,7,False,3,Rank_Standard,0.7916666666666666,0.20833333333333337
1,4,John O'Hurley,Actor/Actress,2nd Place,21.0,3,3.0,0.2282608695652173,7,False,2,Rank_Standard,0.7916666666666666,0.20833333333333337
