season,week,celebrity_name,celebrity_industry,results,total_judge_score,num_judges,judge_rank,judge_percent,eliminated_week_num,is_eliminated
1,1,Evander Holyfield,Athlete,Eliminated Week 3,18.0,3,4.0,0.1651376146788991,3,False
1,1,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,1.0,0.1834862385321101,7,False
1,1,John O'Hurley,Actor/Actress,2nd Place,20.0,3,1.0,0.1834862385321101,7,False
1,1,Kelly Monaco,Actor/Actress,1st Place,13.0,3,6.0,0.11926605504587157,7,False
1,1,Rachel Hunter,Model,Eliminated Week 4,20.0,3,1.0,0.1834862385321101,4,False
1,1,Trista Sutter,TV Personality,Eliminated Week 2,18.0,3,4.0,0.1651376146788991,2,False
1,2,Evander Holyfield,Athlete,Eliminated Week 3,14.0,3,6.0,0.11570247933884298,3,False
1,2,Joey McIntyre,Singer/Rapper,3rd Place,21.0,3,3.0,0.17355371900826447,7,False
1,2,John O'Hurley,Actor/Actress,2nd Place,26.0,3,1.0,0.21487603305785125,7,False
1,2,Kelly Monaco,Actor/Actress,1st Place,17.0,3,5.0,0.14049586776859505,7,False
1,2,Rachel Hunter,Model,Eliminated Week 4,24.0,3,2.0,0.19834710743801653,4,False
1,2,Trista Sutter,TV Personality,Eliminated Week 2,19.0,3,4.0,0.15702479338842976,2,True
1,3,Evander Holyfield,Athlete,Eliminated Week 3,13.0,3,5.0,0.12264150943396226,3,True
1,3,Joey McIntyre,Singer/Rapper,3rd Place,22.0,3,3.0,0.20754716981132076,7,False
1,3,John O'Hurley,Actor/Actress,2nd Place,24.0,3,2.0,0.22641509433962265,7,False
1,3,Kelly Monaco,Actor/Actress,1st Place,21.0,3,4.0,0.19811320754716982,7,False
1,3,Rachel Hunter,Model,Eliminated Week 4,26.0,3,1.0,0.24528301886792453,4,False
1,4,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,4.0,0.21739130434782608,7,False
1,4,John O'Hurley,Actor/Actress,2nd Place,21.0,3,3.0,0.22826086956521738,7,False
1,4,Kelly Monaco,Actor/Actress,1st Place,26.0,3,1.0,0.2826086956521739,7,False
1,4,Rachel Hunter,Model,Eliminated Week 4,25.0,3,2.0,0.2717391304347826,4,True
1,5,Joey McIntyre,Singer/Rapper,3rd Place,22.5,3,3.0,0.3082191780821918,7,False
1,5,John O'Hurley,Actor/Actress,2nd Place,27.0,3,1.0,0.3698630136986301,7,False
1,5,Kelly Monaco,Actor/Actress,1st Place,23.5,3,2.0,0.3219178082191781,7,False
1,6,John O'Hurley,Actor/Actress,2nd Place,27.0,3,2.0,0.4954128440366973,7,False
1,6,Kelly Monaco,Actor/Actress,1st Place,27.5,3,1.0,0.5045871559633027,7,False
2,1,Drew Lachey,Singer/Rapper,1st Place,24.0,3,1.0,0.12307692307692308,9,False
2,1,George Hamilton,Actor/Actress,Eliminated Week 6,18.0,3,8.0,0.09230769230769231,6,False
2,1,Giselle Fernandez,News Anchor,Eliminated Week 3,23.0,3,2.0,0.11794871794871795,3,False
2,1,Jerry Rice,Athlete,2nd Place,21.0,3,5.0,0.1076923076923077,9,False
2,1,Kenny Mayne,Sports Broadcaster,Eliminated Week 1,13.0,3,9.0,0.06666666666666667,1,True
2,1,Lisa Rinna,Actor/Actress,Eliminated Week 7,19.0,3,7.0,0.09743589743589744,7,False
2,1,Master P,Singer/Rapper,Eliminated Week 4,12.0,3,10.0,0.06153846153846154,4,False
2,1,Stacy Keibler,Athlete,3rd Place,22.0,3,4.0,0.11282051282051282,9,False
2,1,Tatum O'Neal,Actor/Actress,Eliminated Week 2,23.0,3,2.0,0.11794871794871795,2,False
2,1,Tia Carrere,Actor/Actress,Eliminated Week 5,20.0,3,6.0,0.10256410256410256,5,False
2,2,Drew Lachey,Singer/Rapper,1st Place,27.0,3,2.0,0.135,9,False
2,2,George Hamilton,Actor/Actress,Eliminated Week 6,22.0,3,5.0,0.11,6,False
2,2,Giselle Fernandez,News Anchor,Eliminated Week 3,24.0,3,3.0,0.12,3,False
2,2,Jerry Rice,Athlete,2nd Place,23.0,3,4.0,0.115,9,False
2,2,Lisa Rinna,Actor/Actress,Eliminated Week 7,20.0,3,7.0,0.1,7,False
2,2,Master P,Singer/Rapper,Eliminated Week 4,16.0,3,9.0,0.08,4,False
2,2,Stacy Keibler,Athlete,3rd Place,29.0,3,1.0,0.145,9,False
2,2,Tatum O'Neal,Actor/Actress,Eliminated Week 2,17.0,3,8.0,0.085,2,True
2,2,Tia Carrere,Actor/Actress,Eliminated Week 5,22.0,3,5.0,0.11,5,False
2,3,Drew Lachey,Singer/Rapper,1st Place,27.0,3,1.0,0.14835164835164835,9,False
2,3,George Hamilton,Actor/Actress,Eliminated Week 6,22.0,3,5.0,0.12087912087912088,6,False
2,3,Giselle Fernandez,News Anchor,Eliminated Week 3,22.0,3,5.0,0.12087912087912088,3,True
2,3,Jerry Rice,Athlete,2nd Place,19.0,3,7.0,0.1043956043956044,9,False
2,3,Lisa Rinna,Actor/Actress,Eliminated Week 7,25.0,3,4.0,0.13736263736263737,7,False
2,3,Master P,Singer/Rapper,Eliminated Week 4,14.0,3,8.0,0.07692307692307693,4,False
2,3,Stacy Keibler,Athlete,3rd Place,27.0,3,1.0,0.14835164835164835,9,False
2,3,Tia Carrere,Actor/Actress,Eliminated Week 5,26.0,3,3.0,0.14285714285714285,5,False
2,4,Drew Lachey,Singer/Rapper,1st Place,28.0,3,1.0,0.17721518987341772,9,False
2,4,George Hamilton,Actor/Actress,Eliminated Week 6,21.0,3,6.0,0.13291139240506328,6,False
2,4,Jerry Rice,Athlete,2nd Place,24.0,3,5.0,0.1518987341772152,9,False
2,4,Lisa Rinna,Actor/Actress,Eliminated Week 7,26.0,3,2.0,0.16455696202531644,7,False
2,4,Master P,Singer/Rapper,Eliminated Week 4,8.0,3,7.0,0.05063291139240506,4,True
2,4,Stacy Keibler,Athlete,3rd Place,26.0,3,2.0,0.16455696202531644,9,False
2,4,Tia Carrere,Actor/Actress,Eliminated Week 5,25.0,3,4.0,0.15822784810126583,5,False
2,5,Drew Lachey,Singer/Rapper,1st Place,27.0,3,2.0,0.17880794701986755,9,False
2,5,George Hamilton,Actor/Actress,Eliminated Week 6,24.0,3,4.0,0.15894039735099338,6,False
2,5,Jerry Rice,Athlete,2nd Place,23.0,3,5.0,0.152317880794702,9,False
2,5,Lisa Rinna,Actor/Actress,Eliminated Week 7,25.0,3,3.0,0.16556291390728478,7,False
2,5,Stacy Keibler,Athlete,3rd Place,30.0,3,1.0,0.1986754966887417,9,False
2,5,Tia Carrere,Actor/Actress,Eliminated Week 5,22.0,3,6.0,0.1456953642384106,5,True
2,6,Drew Lachey,Singer/Rapper,1st Place,30.0,3,1.0,0.22556390977443608,9,False
2,6,George Hamilton,Actor/Actress,Eliminated Week 6,23.0,3,4.0,0.17293233082706766,6,True
2,6,Jerry Rice,Athlete,2nd Place,23.0,3,4.0,0.17293233082706766,9,False
