season,week,celebrity_name,celebrity_industry,results,total_judge_score,num_judges,judge_rank,judge_percent,eliminated_week_num,is_eliminated,f_placement,rule_type,predicted_fan_vote,harmonized_fan_percent
1,1,Evander Holyfield,Athlete,Eliminated Week 3,18.0,3,4.0,0.1651376146788991,3,False,,Rank_Standard,4.0,0.16160688712206236
1,1,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,1.0,0.1834862385321101,7,False,3.0,Rank_Standard,3.0,0.16632354717837394
1,1,John O'Hurley,Actor/Actress,2nd Place,20.0,3,1.0,0.1834862385321101,7,False,2.0,Rank_Standard,2.0,0.17320597298052465
1,1,Kelly Monaco,Actor/Actress,1st Place,13.0,3,6.0,0.1192660550458715,7,False,1.0,Rank_Standard,6.0,0.15518535678685155
1,1,Rachel Hunter,Model,Eliminated Week 4,20.0,3,1.0,0.1834862385321101,4,False,,Rank_Standard,1.0,0.18563756539330456
1,1,Trista Sutter,TV Personality,Eliminated Week 2,18.0,3,4.0,0.1651376146788991,2,False,,Rank_Standard,5.0,0.158040670538883
1,2,Evander Holyfield,Athlete,Eliminated Week 3,14.0,3,6.0,0.1157024793388429,3,False,,Rank_Standard,4.0,0.16160688712206236
1,2,Joey McIntyre,Singer/Rapper,3rd Place,21.0,3,3.0,0.1735537190082644,7,False,3.0,Rank_Standard,3.0,0.16632354717837394
1,2,John O'Hurley,Actor/Actress,2nd Place,26.0,3,1.0,0.2148760330578512,7,False,2.0,Rank_Standard,1.0,0.18563756539330456
1,2,Kelly Monaco,Actor/Actress,1st Place,17.0,3,5.0,0.140495867768595,7,False,1.0,Rank_Standard,5.0,0.158040670538883
1,2,Rachel Hunter,Model,Eliminated Week 4,24.0,3,2.0,0.1983471074380165,4,False,,Rank_Standard,2.0,0.17320597298052465
1,2,Trista Sutter,TV Personality,Eliminated Week 2,19.0,3,4.0,0.1570247933884297,2,True,,Rank_Standard,6.0,0.15518535678685155
1,3,Evander Holyfield,Athlete,Eliminated Week 3,13.0,3,5.0,0.1226415094339622,3,True,,Rank_Standard,5.0,0.1870714147872659
1,3,Joey McIntyre,Singer/Rapper,3rd Place,22.0,3,3.0,0.2075471698113207,7,False,3.0,Rank_Standard,3.0,0.19687578632134356
1,3,John O'Hurley,Actor/Actress,2nd Place,24.0,3,2.0,0.2264150943396226,7,False,2.0,Rank_Standard,2.0,0.20502245595762528
1,3,Kelly Monaco,Actor/Actress,1st Place,21.0,3,4.0,0.1981132075471698,7,False,1.0,Rank_Standard,4.0,0.19129271541436646
1,3,Rachel Hunter,Model,Eliminated Week 4,26.0,3,1.0,0.2452830188679245,4,False,,Rank_Standard,1.0,0.2197376275193987
1,4,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,4.0,0.217391304347826,7,False,3.0,Rank_Standard,2.0,0.25220229634805286
1,4,John O'Hurley,Actor/Actress,2nd Place,21.0,3,3.0,0.2282608695652173,7,False,2.0,Rank_Standard,3.0,0.24218091220131402
1,4,Kelly Monaco,Actor/Actress,1st Place,26.0,3,1.0,0.2826086956521739,7,False,1.0,Rank_Standard,1.0,0.2703037284165569
1,4,Rachel Hunter,Model,Eliminated Week 4,25.0,3,2.0,0.2717391304347826,4,True,,Rank_Standard,4.0,0.23531306303407618
1,5,Joey McIntyre,Singer/Rapper,3rd Place,22.5,3,3.0,0.3082191780821918,7,False,3,Rank_Standard,3.0,0.3167059622624444
1,5,John O'Hurley,Actor/Actress,2nd Place,27.0,3,1.0,0.3698630136986301,7,False,2,Rank_Standard,1.0,0.35348286383582134
1,5,Kelly Monaco,Actor/Actress,1st Place,23.5,3,2.0,0.3219178082191781,7,False,1,Rank_Standard,2.0,0.32981117390173437
1,6,John O'Hurley,Actor/Actress,2nd Place,27.0,3,2.0,0.4954128440366973,7,False,2,Rank_Standard,2.0,0.48267825516781476
1,6,Kelly Monaco,Actor/Actress,1st Place,27.5,3,1.0,0.5045871559633027,7,False,1,Rank_Standard,1.0,0.5173217448321853
2,1,Drew Lachey,Singer/Rapper,1st Place,24.0,3,1.0,0.123076923076923,9,False,1.0,Rank_Standard,1.0,0.11601824206003447
2,1,George Hamilton,Actor/Actress,Eliminated Week 6,18.0,3,8.0,0.0923076923076923,6,False,,Rank_Standard,8.0,0.09423609513430078
2,1,Giselle Fernandez,News Anchor,Eliminated Week 3,23.0,3,2.0,0.1179487179487179,3,False,,Rank_Standard,3.0,0.10394752546954122
2,1,Jerry Rice,Athlete,2nd Place,21.0,3,5.0,0.1076923076923077,9,False,2.0,Rank_Standard,5.0,0.09877096120638737
2,1,Kenny Mayne,Sports Broadcaster,Eliminated Week 1,13.0,3,9.0,0.0666666666666666,1,True,,Rank_Standard,10.0,0.09215656541136157
2,1,Lisa Rinna,Actor/Actress,Eliminated Week 7,19.0,3,7.0,0.0974358974358974,7,False,,Rank_Standard,7.0,0.09550288180262712
2,1,Master P,Singer/Rapper,Eliminated Week 4,12.0,3,10.0,0.0615384615384615,4,False,,Rank_Standard,9.0,0.09313266482394854
2,1,Stacy Keibler,Athlete,3rd Place,22.0,3,4.0,0.1128205128205128,9,False,3.0,Rank_Standard,4.0,0.10099974597798908
2,1,Tatum O'Neal,Actor/Actress,Eliminated Week 2,23.0,3,2.0,0.1179487179487179,2,False,,Rank_Standard,2.0,0.10824884746211541
2,1,Tia Carrere,Actor/Actress,Eliminated Week 5,20.0,3,6.0,0.1025641025641025,5,False,,Rank_Standard,6.0,0.09698647065169454
2,2,Drew Lachey,Singer/Rapper,1st Place,27.0,3,2.0,0.135,9,False,1.0,Rank_Standard,2.0,0.11923735232073916
2,2,George Hamilton,Actor/Actress,Eliminated Week 6,22.0,3,5.0,0.11,6,False,,Rank_Standard,5.0,0.10879735144104712
2,2,Giselle Fernandez,News Anchor,Eliminated Week 3,24.0,3,3.0,0.12,3,False,,Rank_Standard,3.0,0.11449939660206042
2,2,Jerry Rice,Athlete,2nd Place,23.0,3,4.0,0.115,9,False,2.0,Rank_Standard,4.0,0.11125238353874754
2,2,Lisa Rinna,Actor/Actress,Eliminated Week 7,20.0,3,7.0,0.1,7,False,,Rank_Standard,7.0,0.1051975243351309
