season,week,celebrity_name,celebrity_industry,results,total_judge_score,num_judges,judge_rank,judge_percent,eliminated_week_num,is_eliminated,estimated_fan_metric,normalized_fan_support,scoring_system,fan_judge_deviation
1,1,Evander Holyfield,Athlete,Eliminated Week 3,18.0,3,4.0,0.1651376146788991,3,False,1.0,0.18258243114456693,rank,0.01744481646566784
1,1,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,1.0,0.1834862385321101,7,False,2.0,0.1766235348363074,rank,-0.006862703695802691
1,1,John O'Hurley,Actor/Actress,2nd Place,20.0,3,1.0,0.1834862385321101,7,False,3.0,0.1707648679254182,rank,-0.0127213706066919
1,1,Kelly Monaco,Actor/Actress,1st Place,13.0,3,6.0,0.1192660550458715,7,False,4.0,0.16577182168928895,rank,0.04650576664341745
1,1,Rachel Hunter,Model,Eliminated Week 4,20.0,3,1.0,0.1834862385321101,4,False,5.0,0.15875806325402803,rank,-0.024728175278082076
1,1,Trista Sutter,TV Personality,Eliminated Week 2,18.0,3,4.0,0.1651376146788991,2,False,6.0,0.14549928115039035,rank,-0.019638333528508745
1,2,Evander Holyfield,Athlete,Eliminated Week 3,14.0,3,6.0,0.1157024793388429,3,False,1.0,0.18258243114456693,rank,0.06687995180572404
1,2,Joey McIntyre,Singer/Rapper,3rd Place,21.0,3,3.0,0.1735537190082644,7,False,3.0,0.1707648679254182,rank,-0.002788851082846211
1,2,John O'Hurley,Actor/Actress,2nd Place,26.0,3,1.0,0.2148760330578512,7,False,5.0,0.15875806325402803,rank,-0.056117969803823164
1,2,Kelly Monaco,Actor/Actress,1st Place,17.0,3,5.0,0.140495867768595,7,False,2.0,0.1766235348363074,rank,0.03612766706771242
1,2,Rachel Hunter,Model,Eliminated Week 4,24.0,3,2.0,0.1983471074380165,4,False,4.0,0.16577182168928895,rank,-0.03257528574872756
1,2,Trista Sutter,TV Personality,Eliminated Week 2,19.0,3,4.0,0.1570247933884297,2,True,6.0,0.14549928115039035,rank,-0.011525512238039354
1,3,Evander Holyfield,Athlete,Eliminated Week 3,13.0,3,5.0,0.1226415094339622,3,True,5.0,0.1769718820749413,rank,0.054330372640979105
1,3,Joey McIntyre,Singer/Rapper,3rd Place,22.0,3,3.0,0.2075471698113207,7,False,2.0,0.20920716158044508,rank,0.0016599917691243748
1,3,John O'Hurley,Actor/Actress,2nd Place,24.0,3,2.0,0.2264150943396226,7,False,3.0,0.20344607584041038,rank,-0.022969018499212207
1,3,Kelly Monaco,Actor/Actress,1st Place,21.0,3,4.0,0.1981132075471698,7,False,1.0,0.21802716181004256,rank,0.019913954262872763
1,3,Rachel Hunter,Model,Eliminated Week 4,26.0,3,1.0,0.2452830188679245,4,False,4.0,0.1923477186941608,rank,-0.05293530017376369
1,4,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,4.0,0.217391304347826,7,False,1.0,0.2649389313028644,rank,0.04754762695503839
1,4,John O'Hurley,Actor/Actress,2nd Place,21.0,3,3.0,0.2282608695652173,7,False,2.0,0.25610654124220344,rank,0.02784567167698615
1,4,Kelly Monaco,Actor/Actress,1st Place,26.0,3,1.0,0.2826086956521739,7,False,3.0,0.24713425349392576,rank,-0.03547444215824813
1,4,Rachel Hunter,Model,Eliminated Week 4,25.0,3,2.0,0.2717391304347826,4,True,4.0,0.23182027396100627,rank,-0.039918856473776326
1,5,Joey McIntyre,Singer/Rapper,3rd Place,22.5,3,3.0,0.3082191780821918,7,False,1.0,0.34454929796538686,rank,0.03633011988319507
1,5,John O'Hurley,Actor/Actress,2nd Place,27.0,3,1.0,0.3698630136986301,7,False,2.0,0.33532118232125674,rank,-0.03454183137737338
1,5,Kelly Monaco,Actor/Actress,1st Place,23.5,3,2.0,0.3219178082191781,7,False,3.0,0.3201295197133563,rank,-0.0017882885058218
1,6,John O'Hurley,Actor/Actress,2nd Place,27.0,3,2.0,0.4954128440366973,7,False,1.0,0.5,rank,0.004587155963302725
1,6,Kelly Monaco,Actor/Actress,1st Place,27.5,3,1.0,0.5045871559633027,7,False,2.0,0.5,rank,-0.004587155963302725
2,1,Drew Lachey,Singer/Rapper,1st Place,24.0,3,1.0,0.123076923076923,9,False,9.0,0.0868394510511356,rank,-0.03623747202578741
2,1,George Hamilton,Actor/Actress,Eliminated Week 6,18.0,3,8.0,0.0923076923076923,6,False,2.0,0.11348879636773568,rank,0.02118110406004338
