season,week,rank_elim,perc_elim,fan_elim,actual,is_ignored
1,1,Kelly Monaco,Kelly Monaco,Kelly Monaco,,True
1,2,Trista Sutter,Evander Holyfield,Trista Sutter,Trista Sutter,False
1,3,Evander Holyfield,Evander Holyfield,Evander Holyfield,Evander Holyfield,False
1,4,Rachel Hunter,John O'Hurley,Rachel Hunter,Rachel Hunter,False
1,5,Joey McIntyre,Joey McIntyre,Joey McIntyre,,True
1,6,John O'Hurley,John O'Hurley,John O'Hurley,,True
2,1,Kenny Mayne,Master P,Kenny Mayne,Kenny Mayne,False
2,2,Tatum O'Neal,Master P,Tatum O'Neal,Tatum O'Neal,False
2,3,Giselle Fernandez,Master P,Giselle Fernandez,Giselle Fernandez,False
2,4,Master P,Master P,Master P,Master P,False
2,5,Tia Carrere,Tia Carrere,Tia Carrere,Tia Carrere,False
2,6,George Hamilton,George Hamilton,George Hamilton,George Hamilton,False
2,7,Lisa Rinna,Jerry Rice,Lisa Rinna,Lisa Rinna,False
2,8,Stacy Keibler,Jerry Rice,Stacy Keibler,,True
3,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,Tucker Carlson,False
3,2,Jerry Springer,Jerry Springer,Shanna Moakler,Shanna Moakler,False
3,3,Emmitt Smith,Harry Hamlin,Harry Hamlin,Harry Hamlin,False
3,4,Jerry Springer,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,False
3,5,Jerry Springer,Jerry Springer,Willa Ford,Willa Ford,False
3,6,Mario Lopez,Jerry Springer,Jerry Springer,,True
3,7,Monique Coleman,Jerry Springer,Jerry Springer,Jerry Springer,False
3,8,Monique Coleman,Monique Coleman,Monique Coleman,Monique Coleman,False
3,9,Emmitt Smith,Emmitt Smith,Emmitt Smith,,True
3,10,Emmitt Smith,Emmitt Smith,Emmitt Smith,,True
4,1,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,,True
4,2,Clyde Drexler,Clyde Drexler,Paulina Porizkova,Paulina Porizkova,False
4,3,Clyde Drexler,Clyde Drexler,Shandi Finnessey,Shandi Finnessey,False
4,4,Clyde Drexler,Clyde Drexler,Leeza Gibbons,Leeza Gibbons,False
4,5,Apolo Anton Ohno,Clyde Drexler,Clyde Drexler,Clyde Drexler,False
4,6,John Ratzenberger,John Ratzenberger,Heather Mills,Heather Mills,False
4,7,Billy Ray Cyrus,John Ratzenberger,John Ratzenberger,John Ratzenberger,False
