season,week,rank_elim_judgesave,perc_elim_judgesave,fan_elim_judgesave,actual,is_ignored
1,1,Kelly Monaco,Kelly Monaco,Kelly Monaco,,True
1,2,Kelly Monaco,Evander Holyfield,Kelly Monaco,Trista Sutter,False
1,3,Evander Holyfield,Evander Holyfield,Evander Holyfield,Evander Holyfield,False
1,4,John O'Hurley,Joey McIntyre,John O'Hurley,Rachel Hunter,False
1,5,Joey McIntyre,Joey McIntyre,Joey McIntyre,,True
1,6,John O'Hurley,John O'Hurley,John O'Hurley,,True
2,1,Master P,Master P,Master P,Kenny Mayne,False
2,2,Master P,Master P,Master P,Tatum O'Neal,False
2,3,Jerry Rice,Master P,Giselle Fernandez,Giselle Fernandez,False
2,4,Master P,Master P,Master P,Master P,False
2,5,Tia Carrere,Tia Carrere,Tia Carrere,Tia Carrere,False
2,6,George Hamilton,George Hamilton,George Hamilton,George Hamilton,False
2,7,Jerry Rice,Jerry Rice,Jerry Rice,Lisa Rinna,False
2,8,Jerry Rice,Jerry Rice,Jerry Rice,,True
3,1,Tucker Carlson,Tucker Carlson,Tucker Carlson,Tucker Carlson,False
3,2,Jerry Springer,Jerry Springer,Mario Lopez,Shanna Moakler,False
3,3,Emmitt Smith,Emmitt Smith,Jerry Springer,Harry Hamlin,False
3,4,Jerry Springer,Jerry Springer,Jerry Springer,Vivica A. Fox,False
3,5,Jerry Springer,Jerry Springer,Joey Lawrence,Willa Ford,False
3,6,Monique Coleman,Jerry Springer,Jerry Springer,,True
3,7,Monique Coleman,Jerry Springer,Jerry Springer,Jerry Springer,False
3,8,Monique Coleman,Monique Coleman,Monique Coleman,Monique Coleman,False
3,9,Emmitt Smith,Emmitt Smith,Emmitt Smith,,True
3,10,Emmitt Smith,Emmitt Smith,Emmitt Smith,,True
4,1,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,,True
4,2,Clyde Drexler,Clyde Drexler,Shandi Finnessey,Paulina Porizkova,False
4,3,Clyde Drexler,Clyde Drexler,John Ratzenberger,Shandi Finnessey,False
4,4,Clyde Drexler,Clyde Drexler,Clyde Drexler,Leeza Gibbons,False
