season,week,rank_elim,perc_elim,fan_elim,actual,is_ignored
1,2,Trista Sutter,Evander Holyfield,Trista Sutter,Trista Sutter,False
1,4,Rachel Hunter,John O'Hurley,Rachel Hunter,Rachel Hunter,False
2,1,Kenny Mayne,Master P,Kenny Mayne,Kenny Mayne,False
2,2,Tatum O'Neal,Master P,Tatum O'Neal,Tatum O'Neal,False
2,3,Giselle Fernandez,Master P,Giselle Fernandez,Giselle Fernandez,False
2,7,Lisa Rinna,Jerry Rice,Lisa Rinna,Lisa Rinna,False
3,3,Emmitt Smith,Harry Hamlin,Harry Hamlin,Harry Hamlin,False
3,4,Jerry Springer,Vivica A. Fox,Vivica A. Fox,Vivica A. Fox,False
3,7,Monique Coleman,Jerry Springer,Jerry Springer,Jerry Springer,False
4,5,Apolo Anton Ohno,Clyde Drexler,Clyde Drexler,Clyde Drexler,False
4,7,Billy Ray Cyrus,John Ratzenberger,John Ratzenberger,John Ratzenberger,False
4,8,Laila Ali,Billy Ray Cyrus,Billy Ray Cyrus,Billy Ray Cyrus,False
5,2,Wayne Newton,Albert Reed,Albert Reed,Albert Reed,False
5,5,Jennie Garth,Marie Osmond,Marie Osmond,Mark Cuban,False
6,4,Priscilla Presley,Adam Carolla,Adam Carolla,Adam Carolla,False
6,9,Jason Taylor,Marissa Jaret Winokur,Marissa Jaret Winokur,Marissa Jaret Winokur,False
7,1,Cloris Leachman,Jeffrey Ross,Jeffrey Ross,"Jeffrey Ross, Ted McGinley",False
7,5,Cloris Leachman,Toni Braxton,Toni Braxton,Toni Braxton,False
7,6,Maurice Greene,Cloris Leachman,Cloris Leachman,Cloris Leachman,False
7,8,Warren Sapp,Cody Linley,Cody Linley,Maurice Greene,False
7,9,Lance Bass,Cody Linley,Cody Linley,Cody Linley,False
8,3,Steve Wozniak,Denise Richards,Denise Richards,Denise Richards,False
8,4,Steve-O,Steve Wozniak,Steve Wozniak,"Holly Madison, Steve Wozniak",False
8,5,Steve-O,David Alan Grier,David Alan Grier,David Alan Grier,False
8,6,Lawrence Taylor,Steve-O,Steve-O,Steve-O,False
8,7,Lil' Kim,Lawrence Taylor,Lawrence Taylor,Lawrence Taylor,False
8,8,Melissa Rycroft,Chuck Wicks,Chuck Wicks,Chuck Wicks,False
8,10,Gilles Marini,Ty Murray,Ty Murray,Ty Murray,False
9,4,Michael Irvin,Chuck Liddell,Chuck Liddell,Chuck Liddell,False
9,7,Michael Irvin,Mark Dacascos,Mark Dacascos,"Mark Dacascos, Michael Irvin",False
9,8,Mya,Aaron Carter,Aaron Carter,Aaron Carter,False
10,2,Buzz Aldrin,Shannen Doherty,Shannen Doherty,Shannen Doherty,False
10,3,Aiden Turner,Buzz Aldrin,Buzz Aldrin,Buzz Aldrin,False
10,5,Nicole Scherzinger,Kate Gosselin,Kate Gosselin,Kate Gosselin,False
10,8,Nicole Scherzinger,Niecy Nash,Niecy Nash,Niecy Nash,False
