season,week,celebrity_name,results,total_judge_score,judge_rank,judge_percent,eliminated_week_num,is_eliminated,estimated_fan_metric,estimated_fan_support,scoring_method
1,1,Evander Holyfield,Eliminated Week 3,18,4,0.165137615,3,FALSE,1,1,rank
1,1,Joey McIntyre,3rd Place,20,1,0.183486239,7,FALSE,2,0.833333333,rank
1,1,John O'Hurley,2nd Place,20,1,0.183486239,7,FALSE,3,0.666666667,rank
1,1,Kelly Monaco,1st Place,13,6,0.119266055,7,FALSE,4,0.5,rank
1,1,Rachel Hunter,Eliminated Week 4,20,1,0.183486239,4,FALSE,5,0.333333333,rank
1,1,Trista Sutter,Eliminated Week 2,18,4,0.165137615,2,FALSE,6,0.166666667,rank
1,2,Evander Holyfield,Eliminated Week 3,14,6,0.115702479,3,FALSE,1,1,rank
1,2,Joey McIntyre,3rd Place,21,3,0.173553719,7,FALSE,3,0.666666667,rank
1,2,John O'Hurley,2nd Place,26,1,0.214876033,7,FALSE,5,0.333333333,rank
1,2,Kelly Monaco,1st Place,17,5,0.140495868,7,FALSE,2,0.833333333,rank
1,2,Rachel Hunter,Eliminated Week 4,24,2,0.198347107,4,FALSE,4,0.5,rank
1,2,Trista Sutter,Eliminated Week 2,19,4,0.157024793,2,TRUE,6,0.166666667,rank
1,3,Evander Holyfield,Eliminated Week 3,13,5,0.122641509,3,TRUE,5,0.2,rank
1,3,Joey McIntyre,3rd Place,22,3,0.20754717,7,FALSE,2,0.8,rank
1,3,John O'Hurley,2nd Place,24,2,0.226415094,7,FALSE,3,0.6,rank
1,3,Kelly Monaco,1st Place,21,4,0.198113208,7,FALSE,1,1,rank
1,3,Rachel Hunter,Eliminated Week 4,26,1,0.245283019,4,FALSE,4,0.4,rank
1,4,Joey McIntyre,3rd Place,20,4,0.217391304,7,FALSE,1,1,rank
1,4,John O'Hurley,2nd Place,21,3,0.22826087,7,FALSE,2,0.75,rank
1,4,Kelly Monaco,1st Place,26,1,0.282608696,7,FALSE,3,0.5,rank
1,4,Rachel Hunter,Eliminated Week 4,25,2,0.27173913,4,TRUE,4,0.25,rank
1,5,Joey McIntyre,3rd Place,22.5,3,0.308219178,7,FALSE,1,1,rank
1,5,John O'Hurley,2nd Place,27,1,0.369863014,7,FALSE,2,0.666666667,rank
1,5,Kelly Monaco,1st Place,23.5,2,0.321917808,7,FALSE,3,0.333333333,rank
1,6,John O'Hurley,2nd Place,27,2,0.495412844,7,FALSE,1,1,rank
1,6,Kelly Monaco,1st Place,27.5,1,0.504587156,7,FALSE,2,0.5,rank
2,1,Drew Lachey,1st Place,24,1,0.123076923,9,FALSE,9,0.2,rank
2,1,George Hamilton,Eliminated Week 6,18,8,0.092307692,6,FALSE,2,0.9,rank
2,1,Giselle Fernandez,Eliminated Week 3,23,2,0.117948718,3,FALSE,7,0.4,rank
2,1,Jerry Rice,2nd Place,21,5,0.107692308,9,FALSE,5,0.6,rank
2,1,Kenny Mayne,Eliminated Week 1,13,9,0.066666667,1,TRUE,10,0.1,rank
2,1,Lisa Rinna,Eliminated Week 7,19,7,0.097435897,7,FALSE,3,0.8,rank
2,1,Master P,Eliminated Week 4,12,10,0.061538462,4,FALSE,1,1,rank
2,1,Stacy Keibler,3rd Place,22,4,0.112820513,9,FALSE,6,0.5,rank
2,1,Tatum O'Neal,Eliminated Week 2,23,2,0.117948718,2,FALSE,8,0.3,rank
2,1,Tia Carrere,Eliminated Week 5,20,6,0.102564103,5,FALSE,4,0.7,rank
2,2,Drew Lachey,1st Place,27,2,0.135,9,FALSE,7,0.333333333,rank
2,2,George Hamilton,Eliminated Week 6,22,5,0.11,6,FALSE,3,0.777777778,rank
2,2,Giselle Fernandez,Eliminated Week 3,24,3,0.12,3,FALSE,6,0.444444444,rank
2,2,Jerry Rice,2nd Place,23,4,0.115,9,FALSE,5,0.555555556,rank
2,2,Lisa Rinna,Eliminated Week 7,20,7,0.1,7,FALSE,2,0.888888889,rank
2,2,Master P,Eliminated Week 4,16,9,0.08,4,FALSE,1,1,rank
2,2,Stacy Keibler,3rd Place,29,1,0.145,9,FALSE,8,0.222222222,rank
2,2,Tatum O'Neal,Eliminated Week 2,17,8,0.085,2,TRUE,9,0.111111111,rank
2,2,Tia Carrere,Eliminated Week 5,22,5,0.11,5,FALSE,4,0.666666667,rank
2,3,Drew Lachey,1st Place,27,1,0.148351648,9,FALSE,6,0.375,rank
2,3,George Hamilton,Eliminated Week 6,22,5,0.120879121,6,FALSE,3,0.75,rank
2,3,Giselle Fernandez,Eliminated Week 3,22,5,0.120879121,3,TRUE,8,0.125,rank
2,3,Jerry Rice,2nd Place,19,7,0.104395604,9,FALSE,2,0.875,rank
2,3,Lisa Rinna,Eliminated Week 7,25,4,0.137362637,7,FALSE,4,0.625,rank
2,3,Master P,Eliminated Week 4,14,8,0.076923077,4,FALSE,1,1,rank
2,3,Stacy Keibler,3rd Place,27,1,0.148351648,9,FALSE,7,0.25,rank
2,3,Tia Carrere,Eliminated Week 5,26,3,0.142857143,5,FALSE,5,0.5,rank
2,4,Drew Lachey,1st Place,28,1,0.17721519,9,FALSE,6,0.285714286,rank
2,4,George Hamilton,Eliminated Week 6,21,6,0.132911392,6,FALSE,1,1,rank
2,4,Jerry Rice,2nd Place,24,5,0.151898734,9,FALSE,2,0.857142857,rank
2,4,Lisa Rinna,Eliminated Week 7,26,2,0.164556962,7,FALSE,4,0.571428571,rank
2,4,Master P,Eliminated Week 4,8,7,0.050632911,4,TRUE,7,0.142857143,rank
2,4,Stacy Keibler,3rd Place,26,2,0.164556962,9,FALSE,5,0.428571429,rank
2,4,Tia Carrere,Eliminated Week 5,25,4,0.158227848,5,FALSE,3,0.714285714,rank
2,5,Drew Lachey,1st Place,27,2,0.178807947,9,FALSE,4,0.5,rank
2,5,George Hamilton,Eliminated Week 6,24,4,0.158940397,6,FALSE,2,0.833333333,rank
2,5,Jerry Rice,2nd Place,23,5,0.152317881,9,FALSE,1,1,rank
2,5,Lisa Rinna,Eliminated Week 7,25,3,0.165562914,7,FALSE,3,0.666666667,rank
2,5,Stacy Keibler,3rd Place,30,1,0.198675497,9,FALSE,5,0.333333333,rank
2,5,Tia Carrere,Eliminated Week 5,22,6,0.145695364,5,TRUE,6,0.166666667,rank
2,6,Drew Lachey,1st Place,30,1,0.22556391,9,FALSE,3,0.6,rank
2,6,George Hamilton,Eliminated Week 6,23,4,0.172932331,6,TRUE,5,0.2,rank
2,6,Jerry Rice,2nd Place,23,4,0.172932331,9,FALSE,1,1,rank
2,6,Lisa Rinna,Eliminated Week 7,27,3,0.203007519,7,FALSE,2,0.8,rank
2,6,Stacy Keibler,3rd Place,30,1,0.22556391,9,FALSE,4,0.4,rank
2,7,Drew Lachey,1st Place,27.5,1,0.269607843,9,FALSE,2,0.75,rank
2,7,Jerry Rice,2nd Place,20.5,4,0.200980392,9,FALSE,1,1,rank
2,7,Lisa Rinna,Eliminated Week 7,26.5,3,0.259803922,7,TRUE,4,0.25,rank
2,7,Stacy Keibler,3rd Place,27.5,1,0.269607843,9,FALSE,3,0.5,rank
2,8,Drew Lachey,1st Place,28.9998,1,0.343872913,9,FALSE,1,1,rank
2,8,Jerry Rice,2nd Place,26.6666,3,0.316206368,9,FALSE,2,0.666666667,rank
2,8,Stacy Keibler,3rd Place,28.6665,2,0.339920719,9,FALSE,3,0.333333333,rank
3,1,Emmitt Smith,1st Place,24,2,0.113207547,11,FALSE,0.090909091,0.090909091,percent
3,1,Harry Hamlin,Eliminated Week 3,17,8,0.080188679,3,FALSE,0.090909091,0.090909091,percent
3,1,Jerry Springer,Eliminated Week 7,16,9,0.075471698,7,FALSE,0.090909091,0.090909091,percent
3,1,Joey Lawrence,3rd Place,21,5,0.099056604,11,FALSE,0.090909091,0.090909091,percent
3,1,Mario Lopez,2nd Place,26,1,0.122641509,11,FALSE,0.090909091,0.090909091,percent
3,1,Monique Coleman,Eliminated Week 8,19,6,0.089622642,8,FALSE,0.090909091,0.090909091,percent
3,1,Sara Evans,Withdrew,15,10,0.070754717,10,FALSE,0.090909091,0.090909091,percent
3,1,Shanna Moakler,Eliminated Week 2,18,7,0.08490566,2,FALSE,0.090909091,0.090909091,percent
3,1,Tucker Carlson,Eliminated Week 1,12,11,0.056603774,1,TRUE,0.090909091,0.090909091,percent
3,1,Vivica A. Fox,Eliminated Week 4,22,3,0.103773585,4,FALSE,0.090909091,0.090909091,percent
3,1,Willa Ford,Eliminated Week 5,22,3,0.103773585,5,FALSE,0.090909091,0.090909091,percent
3,2,Emmitt Smith,1st Place,24,3,0.104347826,11,FALSE,0.1,0.1,percent
3,2,Harry Hamlin,Eliminated Week 3,21,7,0.091304348,3,FALSE,0.1,0.1,percent
3,2,Jerry Springer,Eliminated Week 7,19,10,0.082608696,7,FALSE,0.106521739,0.106521739,percent
3,2,Joey Lawrence,3rd Place,29,1,0.126086957,11,FALSE,0.1,0.1,percent
3,2,Mario Lopez,2nd Place,21,7,0.091304348,11,FALSE,0.1,0.1,percent
3,2,Monique Coleman,Eliminated Week 8,26,2,0.113043478,8,FALSE,0.1,0.1,percent
3,2,Sara Evans,Withdrew,21,7,0.091304348,10,FALSE,0.1,0.1,percent
3,2,Shanna Moakler,Eliminated Week 2,22,6,0.095652174,2,TRUE,0.093478261,0.093478261,percent
3,2,Vivica A. Fox,Eliminated Week 4,24,3,0.104347826,4,FALSE,0.1,0.1,percent
3,2,Willa Ford,Eliminated Week 5,23,5,0.1,5,FALSE,0.1,0.1,percent
3,3,Emmitt Smith,1st Place,19,9,0.09178744,11,FALSE,0.118357488,0.118357488,percent
3,3,Harry Hamlin,Eliminated Week 3,22,4,0.106280193,3,TRUE,0.103864734,0.103864734,percent
3,3,Jerry Springer,Eliminated Week 7,21,8,0.101449275,7,FALSE,0.111111111,0.111111111,percent
3,3,Joey Lawrence,3rd Place,22,4,0.106280193,11,FALSE,0.111111111,0.111111111,percent
3,3,Mario Lopez,2nd Place,22,4,0.106280193,11,FALSE,0.111111111,0.111111111,percent
3,3,Monique Coleman,Eliminated Week 8,27,1,0.130434783,8,FALSE,0.111111111,0.111111111,percent
