season,week,celebrity_name,celebrity_industry,results,total_judge_score,num_judges,judge_rank,judge_percent,eliminated_week_num,is_eliminated,inferred_fan_val,rule_type,harmonized_fan_percent,fan_rank,rank_score,res_rank_method,pct_score,res_pct_method
1,1,Evander Holyfield,Athlete,Eliminated Week 3,18.0,3,4.0,0.1651376146788991,3,False,2.0,Rank_Standard,0.1769305462356845,2.0,6.0,4.0,0.3420681609145836,3.0
1,1,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,1.0,0.1834862385321101,7,False,3.0,Rank_Standard,0.165816680554453,3.0,4.0,2.0,0.3493029190865631,2.0
1,1,John O'Hurley,Actor/Actress,2nd Place,20.0,3,1.0,0.1834862385321101,7,False,4.0,Rank_Standard,0.1583572746939184,4.0,5.0,3.0,0.34184351322602846,4.0
1,1,Kelly Monaco,Actor/Actress,1st Place,13.0,3,6.0,0.1192660550458715,7,False,6.0,Rank_Standard,0.1484100862742902,6.0,12.0,6.0,0.2676761413201617,6.0
1,1,Rachel Hunter,Model,Eliminated Week 4,20.0,3,1.0,0.1834862385321101,4,False,1.0,Rank_Standard,0.1976822236412225,1.0,2.0,1.0,0.3811684621733326,1.0
1,1,Trista Sutter,TV Personality,Eliminated Week 2,18.0,3,4.0,0.1651376146788991,2,False,5.0,Rank_Standard,0.1528031886004312,5.0,9.0,5.0,0.3179408032793303,5.0
1,2,Evander Holyfield,Athlete,Eliminated Week 3,14.0,3,6.0,0.1157024793388429,3,False,1.0,Rank_Standard,0.1976822236412225,1.0,7.0,4.0,0.3133847029800654,4.0
1,2,Joey McIntyre,Singer/Rapper,3rd Place,21.0,3,3.0,0.1735537190082644,7,False,2.0,Rank_Standard,0.1769305462356844,2.0,5.0,1.0,0.3504842652439488,3.0
1,2,John O'Hurley,Actor/Actress,2nd Place,26.0,3,1.0,0.2148760330578512,7,False,4.0,Rank_Standard,0.1583572746939184,4.0,5.0,3.0,0.37323330775176955,1.0
1,2,Kelly Monaco,Actor/Actress,1st Place,17.0,3,5.0,0.140495867768595,7,False,5.0,Rank_Standard,0.1528031886004312,5.0,10.0,5.0,0.2932990563690262,6.0
1,2,Rachel Hunter,Model,Eliminated Week 4,24.0,3,2.0,0.1983471074380165,4,False,3.0,Rank_Standard,0.165816680554453,3.0,5.0,2.0,0.3641637879924695,2.0
1,2,Trista Sutter,TV Personality,Eliminated Week 2,19.0,3,4.0,0.1570247933884297,2,True,6.0,Rank_Standard,0.1484100862742902,6.0,10.0,6.0,0.30543487966271987,5.0
1,3,Evander Holyfield,Athlete,Eliminated Week 3,13.0,3,5.0,0.1226415094339622,3,True,4.0,Rank_Standard,0.1859548500299923,4.0,9.0,4.0,0.3085963594639545,5.0
1,3,Joey McIntyre,Singer/Rapper,3rd Place,22.0,3,3.0,0.2075471698113207,7,False,1.0,Rank_Standard,0.2321331200088572,1.0,4.0,2.0,0.4396802898201779,2.0
1,3,John O'Hurley,Actor/Actress,2nd Place,24.0,3,2.0,0.2264150943396226,7,False,3.0,Rank_Standard,0.1947142373128919,3.0,5.0,3.0,0.4211293316525145,3.0
1,3,Kelly Monaco,Actor/Actress,1st Place,21.0,3,4.0,0.1981132075471698,7,False,5.0,Rank_Standard,0.1794328304475996,5.0,9.0,5.0,0.3775460379947694,4.0
1,3,Rachel Hunter,Model,Eliminated Week 4,26.0,3,1.0,0.2452830188679245,4,False,2.0,Rank_Standard,0.2077649622006589,2.0,3.0,1.0,0.4530479810685834,1.0
1,4,Joey McIntyre,Singer/Rapper,3rd Place,20.0,3,4.0,0.217391304347826,7,False,1.0,Rank_Standard,0.2828935017415822,1.0,5.0,1.0,0.5002848060894082,3.0
1,4,John O'Hurley,Actor/Actress,2nd Place,21.0,3,3.0,0.2282608695652173,7,False,2.0,Rank_Standard,0.2531967764613221,2.0,5.0,2.0,0.4814576460265394,4.0
1,4,Kelly Monaco,Actor/Actress,1st Place,26.0,3,1.0,0.2826086956521739,7,False,4.0,Rank_Standard,0.2266174628110288,4.0,5.0,4.0,0.5092261584632027,1.0
1,4,Rachel Hunter,Model,Eliminated Week 4,25.0,3,2.0,0.2717391304347826,4,True,3.0,Rank_Standard,0.2372922589860667,3.0,5.0,3.0,0.5090313894208494,2.0
1,5,Joey McIntyre,Singer/Rapper,3rd Place,22.5,3,3.0,0.3082191780821918,7,False,2.0,Rank_Standard,0.3273887944013081,2.0,5.0,2.0,0.6356079724834999,2.0
1,5,John O'Hurley,Actor/Actress,2nd Place,27.0,3,1.0,0.3698630136986301,7,False,1.0,Rank_Standard,0.3657872891335521,1.0,2.0,1.0,0.7356503028321821,1.0
1,5,Kelly Monaco,Actor/Actress,1st Place,23.5,3,2.0,0.3219178082191781,7,False,3.0,Rank_Standard,0.3068239164651398,3.0,5.0,3.0,0.6287417246843179,3.0
1,6,John O'Hurley,Actor/Actress,2nd Place,27.0,3,2.0,0.4954128440366973,7,False,1.0,Rank_Standard,0.5276975040284355,1.0,3.0,1.0,1.0231103480651327,1.0
1,6,Kelly Monaco,Actor/Actress,1st Place,27.5,3,1.0,0.5045871559633027,7,False,2.0,Rank_Standard,0.4723024959715645,2.0,3.0,2.0,0.9768896519348672,2.0
2,1,Drew Lachey,Singer/Rapper,1st Place,24.0,3,1.0,0.123076923076923,9,False,1.0,Rank_Standard,0.1265264537346452,1.0,2.0,1.0,0.2496033768115682,1.0
2,1,George Hamilton,Actor/Actress,Eliminated Week 6,18.0,3,8.0,0.0923076923076923,6,False,6.0,Rank_Standard,0.0949898355494973,6.0,14.0,7.0,0.18729752785718962,7.0
2,1,Giselle Fernandez,News Anchor,Eliminated Week 3,23.0,3,2.0,0.1179487179487179,3,False,4.0,Rank_Standard,0.1013565308050612,4.0,6.0,2.0,0.2193052487537791,3.0
2,1,Jerry Rice,Athlete,2nd Place,21.0,3,5.0,0.1076923076923077,9,False,2.0,Rank_Standard,0.1132443482281156,2.0,7.0,3.0,0.2209366559204233,2.0
2,1,Kenny Mayne,Sports Broadcaster,Eliminated Week 1,13.0,3,9.0,0.0666666666666666,1,True,9.0,Rank_Standard,0.0890230632999328,9.0,18.0,10.0,0.1556897299665994,10.0
2,1,Lisa Rinna,Actor/Actress,Eliminated Week 7,19.0,3,7.0,0.0974358974358974,7,False,10.0,Rank_Standard,0.0875349193341694,10.0,17.0,9.0,0.1849708167700668,8.0
2,1,Master P,Singer/Rapper,Eliminated Week 4,12.0,3,10.0,0.0615384615384615,4,False,5.0,Rank_Standard,0.0978016395042568,5.0,15.0,8.0,0.15934010104271829,9.0
2,1,Stacy Keibler,Athlete,3rd Place,22.0,3,4.0,0.1128205128205128,9,False,7.0,Rank_Standard,0.0926756518644596,7.0,11.0,6.0,0.2054961646849724,6.0
